,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
250,LDF,DBR,x' y' [U2 (R' D R) U2 (R' D' R)] y x,8,[R D (R U2 R') D' (R U2 R2)],9
251,LDF,RDB,[D (R U2 R') D2 (R U2 R') D],9,y' [(R U' R') D2 (R U R') D2] y,8
252,LDF,BDR,F [U' (L D2 L') U (L D2 L')] F',10,,
253,FDL,UFR,,,,
254,FDL,RFU,,,,
255,FDL,FRU,,,,
256,FDL,UFL,,,,
257,FDL,FLU,,,,
258,FDL,LUF,,,,
259,FDL,UBR,,,,
260,FDL,BRU,,,,
261,FDL,RUB,,,,
262,FDL,DFR,,,,
263,FDL,FDR,,,,
264,FDL,RDF,,,,
265,FDL,DBL,z R2 [U (L' D2 L) U' (L' D2 L)] R2 z',10,,
266,FDL,BDL,F' [(R U2 R') D2 (R U2 R') D2] F,10,,
267,FDL,LDB,[D' (L U L') D (L U' L')],8,,
268,FDL,DBR,x [(R U' R') D2 (R U R') D2] x',8,,
269,FDL,RDB,F' [(R U2 R') D' (R U2 R') D] F,10,,
270,FDL,BDR,[D2 (R' U R) D2 (R' U' R)],8,,
271,DBL,UFR,,,,
272,DBL,RFU,,,,
273,DBL,FRU,,,,
274,DBL,UFL,,,,
275,DBL,FLU,,,,
276,DBL,LUF,,,,
277,DBL,UBR,,,,
278,DBL,BRU,,,,
279,DBL,RUB,,,,
280,DBL,DFR,,,,
281,DBL,FDR,,,,
282,DBL,RDF,,,,
283,DBL,DFL,,,,
284,DBL,LDF,,,,
285,DBL,FDL,,,,
286,DBL,DBR,z x [R2 D2 (R U2 R') D2 (R U2 R)] x' z',9,D2 x [(U' R' U) L2 (U' R U) L2] x' D2,10
287,DBL,RDB,D' R [U2 (L' D2 L) U2 (L' D2 L)] R' D,12,,
288,DBL,BDR,z' x' [R' U2 (R' F' R2 F R) U2 (R' F' R2 F R2)] x z,13,,
289,BDL,UFR,,,,
290,BDL,RFU,,,,
291,BDL,FRU,,,,
292,BDL,UFL,,,,
293,BDL,FLU,,,,
294,BDL,LUF,,,,
295,BDL,UBR,,,,
296,BDL,BRU,,,,
297,BDL,RUB,,,,
298,BDL,DFR,,,,
299,BDL,FDR,,,,
300,BDL,RDF,,,,
301,BDL,DFL,,,,
302,BDL,LDF,,,,
303,BDL,FDL,,,,
304,BDL,DBR,[R D2 (R D2 R) U2 (R' D2 R) U2 R2],9,,
305,BDL,RDB,[D2 (R U2 R') D (R U2 R') D],9,,
306,BDL,BDR,[(U R' U') L (U R U') L'],8,,
307,LDB,UFR,,,,
308,LDB,RFU,,,,
309,LDB,FRU,,,,
310,LDB,UFL,,,,
311,LDB,FLU,,,,
312,LDB,LUF,,,,
313,LDB,UBR,,,,
314,LDB,BRU,,,,
315,LDB,RUB,,,,
316,LDB,DFR,,,,
317,LDB,FDR,,,,
318,LDB,RDF,,,,
319,LDB,DFL,,,,
320,LDB,LDF,,,,
321,LDB,FDL,,,,
322,LDB,DBR,z' [(R' U R') D2 (R U' R') D2 R2] z,9,,
323,LDB,RDB,R [(L U L') D2 (L U' L') D2] R',10,z2 x' [R2 D (R' U2 R) D' (R' U2 R')] x z2,9
324,LDB,BDR,[D' (R' U R) D (R' U' R)],8,[(L U L') D (L U' L') D'],8
325,DBR,UFR,,,,
326,DBR,RFU,,,,
327,DBR,FRU,,,,
328,DBR,UFL,,,,
329,DBR,FLU,,,,
330,DBR,LUF,,,,
331,DBR,UBR,,,,
332,DBR,BRU,,,,
333,DBR,RUB,,,,
334,DBR,DFR,,,,
335,DBR,FDR,,,,
336,DBR,RDF,,,,
337,DBR,DFL,,,,
